bad1_1 241.5 442.5 19.1 666.0 67.5 60.5 232 233
bad1_2 244.5 443.5 18.8 726.0 65.5 61.5 231 233
bad1_3 239.5 446.5 15.5 462.0 68.5 64.5 230 233
bad1_4 258.5 450.5 18.8 706.0 50.5 70.5 232 235
bad1_5 256.5 449.5 17.7 731.0 51.5 67.5 231 233
bad1_6 262.5 448.5 18.3 636.0 47.5 66.5 232 233
bad67_1 239.5 450.5 18.0 404.0 70.5 68.5 234 233
bad67_2 238.5 449.5 18.1 417.0 68.5 68.5 231 234
bad67_3 243.5 448.5 17.2 394.0 67.5 66.5 232 234
bad67_4 240.5 451.5 16.9 264.0 67.5 70.5 231 234
bad67_5 248.5 448.5 16.6 480.0 63.5 66.5 232 234
bad67_6 240.5 452.5 17.2 304.0 69.5 70.5 233 233
bad67_1 239.5 450.5 18.0 404.0 70.5 68.5 234 233
bad67_2 238.5 449.5 18.1 417.0 68.5 68.5 231 234
bad67_3 243.5 448.5 17.2 394.0 67.5 66.5 232 234
bad67_4 240.5 451.5 16.9 264.0 67.5 70.5 231 234
bad67_5 248.5 448.5 16.6 480.0 63.5 66.5 232 234
bad67_6 240.5 452.5 17.2 304.0 69.5 70.5 233 233
bad67_1 239.5 450.5 18.0 404.0 1009.0 70.5 68.5 234 233
bad67_2 238.5 449.5 18.1 417.0 1009.0 68.5 68.5 231 234
bad67_3 243.5 448.5 17.2 394.0 901.0 67.5 66.5 232 234
bad67_4 240.5 451.5 16.9 264.0 901.0 67.5 70.5 231 234
bad67_5 248.5 448.5 16.6 480.0 901.0 63.5 66.5 232 234
bad67_6 240.5 452.5 17.2 304.0 901.0 69.5 70.5 233 233
bad67_1 240.5 449.5 18.0 404.0 1009.0 69.5 67.5 233 233
bad67_2 239.5 449.5 18.0 410.0 1009.0 67.5 68.5 232 234
bad67_3 244.5 448.5 17.4 394.0 901.0 66.5 66.5 232 234
bad67_4 240.5 453.5 17.7 367.0 1009.0 67.5 72.5 231 234
bad67_5 248.5 447.5 18.3 585.0 1009.0 63.5 65.5 232 234
bad67_6 241.5 450.5 17.4 316.0 901.0 68.5 69.5 233 234
bad67_1 241.5 449.5 17.7 404.0 1009.0 68.5 67.5 234 233
bad67_2 238.5 448.5 18.8 535.0 1129.0 68.5 67.5 231 234
bad67_3 244.5 450.5 17.2 385.0 901.0 66.5 68.5 233 234
bad67_4 240.5 451.5 17.7 367.0 1009.0 67.5 70.5 231 234
bad67_5 248.5 447.5 17.7 585.0 1009.0 63.5 65.5 232 234
bad67_6 240.5 451.5 17.2 304.0 901.0 68.5 69.5 232 233
bad67_1 239.5 451.5 17.7 404.0 1009.0 70.5 69.5 234 233
bad67_2 238.5 449.5 18.1 417.0 1009.0 68.5 68.5 231 234
bad67_3 244.5 450.5 17.2 385.0 901.0 66.5 68.5 233 234
bad67_4 241.5 453.5 17.0 271.0 901.0 66.5 72.5 231 234
bad67_5 248.5 447.5 17.4 480.0 901.0 63.5 65.5 232 234
bad67_6 241.5 451.5 16.1 215.0 797.0 67.5 69.5 232 233
