cube9cam2_32 [192.58, 187.19, 50.23, 5.56, 654.51, 658.17, 0] size(outline) :654.71,657.11
cube9cam1_44 [478.17, 472.12, 48.87, 11.09, 664.71, 667.77, 0.16859329601944698] size(outline) :664.92,676.3
cube28cam2_52 [193.51, 194.14, 49.82, 10.25, 652.95, 654.52, 0] size(outline) :653.16,655.2
cube28cam2_52 [193.51, 194.14, 49.82, 10.25, 652.95, 654.52, 0] size(outline) :653.16,655.2
cube28cam2_52 [193.51, 194.14, 49.82, 10.25, 652.95, 654.52, 0] size(outline) :653.16,655.2
cube28cam1_62 [191.07, 188.48, 49.71, 5.54, 664.89, 665.07, 0] size(outline) :667.92,665.25
cube4cam1_11 [187.72, 465.18, 50.48, 2.44, 665.73, 663.66, 0.08562016837484401] size(outline) :666.53,666.96
cube4cam1_11 [187.72, 465.18, 50.48, 2.44, 665.73, 663.66, 0.08562016837484401] size(outline) :666.53,666.96
cube4cam1_12 [192.98, 187.71, 49.86, 7.92, 663.28, 666.06, 0] size(outline) :665.14,666.96
cube4cam1_13 [473.05, 191.02, 50.24, 3.38, 666.54, 663.09, 0] size(outline) :666.45,665.48
cube4cam1_13 [473.05, 191.02, 50.24, 3.38, 666.54, 663.09, 0] size(outline) :666.45,665.48
cube4cam1_14 [466.33, 471.81, 50.12, 6.23, 663.68, 666.18, 0] size(outline) :665.36,668.0
cube4cam2_13 [467.97, 190.28, 50.31, 2.65, 672.07, 662.66, 0.24994623809673605] size(outline) :703.11,696.8
cube4cam2_13 [467.97, 190.28, 50.31, 2.65, 672.07, 662.66, 0.24994623809673605] size(outline) :703.11,696.8
cube4cam2_13 [467.97, 190.28, 50.31, 2.65, 672.07, 662.66, 0.24994623809673605] size(outline) :703.11,696.8
cube4cam2_13 [467.97, 190.28, 50.31, 2.65, 672.07, 662.66, 0.24994623809673605] size(outline) :703.11,696.8
cube4cam2_13 [467.97, 190.28, 50.31, 2.65, 672.07, 662.66, 0.24994623809673605] size(outline) :703.11,696.8
cube4cam2_13 [467.97, 190.28, 50.31, 2.65, 672.07, 662.66, 0.24994623809673605] size(outline) :703.11,696.8
cube4cam2_13 [467.97, 190.28, 50.31, 2.65, 672.07, 662.66, 0.24994623809673605] size(outline) :703.11,696.8
cube4cam2_13 [467.97, 190.28, 50.31, 2.65, 672.07, 662.66, 0.24994623809673605] size(outline) :703.11,696.8
cube4cam2_11 [189.39, 461.51, 50.14, 14.07, 658.2, 654.14, 0] size(outline) :657.37,653.88
cube4cam2_11 [188.79, 461.47, 50.14, 14.07, 658.15, 654.09, 0] size(outline) :657.25,653.69
cube4cam2_11 [188.79, 461.47, 50.14, 14.07, 658.15, 654.09, 0] size(outline) :657.25,653.69
