cube1cam1_11 icam: 0 direction: 1 [184.7, 476.15, 49.25, 4.06, 662.78, 660.95, 0] size(outline) :663.2,661.39
cube2cam1_11 icam: 1 direction: 1 [470.84, 471.23, 49.09, 3.87, 661.0, 664.6, 0.06863] size(outline) :663.91,664.42
cube3cam1_11 icam: 2 direction: 1 [195.67, 198.86, 50.38, 156.14, 661.22, 663.8, 0.12903] size(outline) :661.7,666.58
cube1cam1_11 icam: 0 direction: 1 [184.7, 476.15, 49.25, 4.06, 662.78, 660.95, 0] size(outline) :663.2,661.39
cube2cam1_11 icam: 1 direction: 1 [470.84, 471.23, 49.09, 3.87, 661.0, 664.6, 0.06863] size(outline) :663.91,664.42
cube3cam1_11 icam: 2 direction: 1 [195.67, 198.86, 50.38, 156.14, 661.22, 663.8, 0.12903] size(outline) :661.7,666.58
cube1cam1_11 icam: 1 direction: 1 [478.08, 476.15, 49.25, 4.06, 662.78, 660.95, 0] size(outline) :663.2,661.39
cube1cam1_11 icam: 1 direction: 1 [478.08, 476.15, 49.25, 4.06, 662.78, 660.95, 0] size(outline) :663.2,661.39
cube1cam1_11 icam: 1 direction: 1 [478.08, 476.15, 49.25, 4.06, 662.78, 660.95, 0] size(outline) :663.2,661.39
cube1cam1_11 icam: 1 direction: 1 [478.08, 476.15, 49.25, 4.06, 662.78, 660.95, 0] size(outline) :663.2,661.39
cube1cam1_11 icam: 1 direction: 1 [478.08, 476.15, 49.25, 4.06, 662.78, 660.95, 0] size(outline) :663.2,661.39
cube1cam1_11 icam: 1 direction: 1 [478.08, 476.15, 49.25, 4.06, 662.78, 660.95, 0] size(outline) :663.2,661.39
cube1cam1_11 icam: 1 direction: 1 [478.08, 476.15, 49.25, 4.06, 662.78, 660.95, 0] size(outline) :663.2,661.39
cube1cam1_11 icam: 1 direction: 1 [478.08, 476.15, 49.25, 4.06, 662.78, 660.95, 0] size(outline) :663.2,661.39
cube1cam1_11 icam: 1 direction: 1 [478.08, 476.15, 49.25, 4.06, 662.78, 660.95, 0] size(outline) :663.2,661.39
cube1cam1 icam: 1 direction: 1 [471.78, 186.82, 49.38, 5.26, 659.43, 657.73, 0.09209] size(outline) :662.07,660.89
cube1cam2 icam: 1 direction: 1 [193.26, 485.95, 51.12, 12.81, 666.7, 670.01, 0] size(outline) :668.96,669.25
cube1cam3 icam: 1 direction: 1 [477.1, 470.65, 50.24, 5.45, 667.34, 673.78, 0.19704] size(outline) :668.94,678.56
cube1cam1 icam: 1 direction: 1 [471.45, 186.17, 48.94, 9.46, 659.24, 656.22, 0.138] size(outline) :662.03,661.19
cube1cam2 icam: 1 direction: 1 [193.68, 484.63, 51.26, 10.96, 667.69, 667.05, 0.23888] size(outline) :668.99,669.11
cube1cam3 icam: 1 direction: 1 [475.73, 470.65, 51.05, 11.13, 664.9, 670.1, 0.23835] size(outline) :666.63,678.7
cube1cam1 icam: 1 direction: 1 [475.88, 470.47, 51.12, 9.06, 665.03, 669.97, 0.23173] size(outline) :667.24,679.63
cube1cam2 icam: 1 direction: 1 [473.07, 185.46, 49.35, 7.09, 660.48, 654.92, 0.07843] size(outline) :662.28,660.3
cube1cam3 icam: 1 direction: 1 [192.95, 483.95, 51.28, 10.71, 666.8, 664.73, 0] size(outline) :668.93,668.13
cube1cam1_11 icam: 1 direction: 0 [194.11, 193.55, 49.71, 6.73, 661.18, 667.26, 0, 0] size(outline) :661.83,666.08
cube1cam1_11 icam: 1 direction: 0 [194.11, 193.55, 49.71, 6.73, 661.18, 667.26, 0, 0] size(outline) :661.83,666.08
cube1cam3_24 icam: 1 direction: 3 [177.47, 195.72, 50.38, 5.01, 664.01, 662.14, 0, 3] size(outline) :665.7,662.13
cube1cam2_32 icam: 1 direction: 1 [176.6, 193.01, 48.64, 7.89, 656.28, 654.78, 0.24594, 1] size(outline) :658.56,654.86
cube1cam1_11 icam: 1 direction: 0 [194.11, 193.55, 49.71, 6.73, 661.18, 667.26, 0, 0] size(outline) :661.83,666.08
cube1cam3_24 icam: 1 direction: 3 [177.47, 195.72, 50.38, 5.01, 664.01, 662.14, 0, 3] size(outline) :665.7,662.13
cube1cam2_32 icam: 1 direction: 1 [176.6, 193.01, 48.64, 7.89, 656.28, 654.78, 0.24594, 1] size(outline) :658.56,654.86
cube1cam1_11 icam: 1 direction: 0 [194.11, 193.55, 49.71, 6.73, 661.18, 667.26, 0, 0] size(outline) :661.83,666.08
cube1cam3_24 icam: 1 direction: 3 [177.47, 195.72, 50.38, 5.01, 664.01, 662.14, 0, 3] size(outline) :665.7,662.13
cube1cam2_32 icam: 1 direction: 1 [176.6, 193.01, 48.64, 7.89, 656.28, 654.78, 0.24594, 1] size(outline) :658.56,654.86
cube1cam1_41 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam1_11 icam: 1 direction: 0 [190.66, 199.27, 50.22, 6.0, 663.66, 668.93, 0, 0] size(outline) :664.54,669.9
cube1cam3_54 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam3_24 icam: 1 direction: 3 [195.46, 192.56, 52.11, 9.32, 665.64, 665.98, 0.23365, 3] size(outline) :665.88,667.86
cube1cam2_62 icam: 1 direction: 0 [191.76, 203.04, 50.0, 10.15, 661.01, 666.54, 0.23098, 0] size(outline) :662.7,671.31
cube2cam2_32 icam: 1 direction: 1 [191.82, 189.07, 49.02, 11.82, 658.09, 661.06, 0, 1] size(outline) :659.95,662.21
cube2cam1_41 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam1_11 icam: 1 direction: 0 [189.39, 199.89, 49.68, 4.96, 662.23, 667.3, 0, 0] size(outline) :662.97,665.18
cube2cam3_54 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam3_24 icam: 1 direction: 3 [196.78, 197.46, 51.17, 7.99, 664.73, 665.73, 0, 3] size(outline) :665.79,665.4
cube2cam2_62 icam: 1 direction: 0 [188.72, 190.55, 49.44, 7.12, 666.02, 665.22, 0, 0] size(outline) :667.4,664.43
cube3cam2_32 icam: 1 direction: 1 [193.67, 188.32, 48.65, 6.77, 656.76, 658.22, 0, 1] size(outline) :657.75,658.38
